route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66503,1,44087071,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087072,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087043,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087044,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087045,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087046,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087047,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087048,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087049,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087050,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087051,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087090,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087139,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087147,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087150,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087149,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087148,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087177,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087170,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087182,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087093,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087101,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087100,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087124,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087099,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087162,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087171,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087172,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087168,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087106,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087107,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087108,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087109,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087110,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087079,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
